factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
sparsity,1.0,fnr_region_2,TwoStep (tuned),twostep_tuned,699,0.5436337625178826,0.4980924560445912,1.0,0.0,1.0,0.45836138377256924,True
sparsity,1.0,fnr_region_2,TwoStep (recall),twostep_recall,699,0.5436337625178826,0.4980924560445912,1.0,0.0,1.0,0.4763170750164102,True
sparsity,1.0,recall_region_2,TwoStep (tuned),twostep_tuned,699,0.4563662374821173,0.4980924560445912,1.0,0.0,1.0,0.45836138377256924,True
sparsity,1.0,recall_region_2,TwoStep (recall),twostep_recall,699,0.4563662374821173,0.4980924560445912,1.0,0.0,1.0,0.4763170750164102,True
noise,3.026549586817165,fnr_region_2,λ=0,divtree_lambda0,231,0.539240080006796,0.45615007293504795,0.988504371066287,0.0,1.0,0.44362600324610857,True
noise,3.026549586817165,recall_region_2,λ=0,divtree_lambda0,231,0.460759919993204,0.45615007293504795,0.988504371066287,0.0,1.0,0.4436260032461085,True
rareness,0.0222590323398234,precision_region_2,λ=0,divtree_lambda0,112,0.5528895337231743,0.45221254602441757,0.9668532134608134,0.0,1.0,0.3970608242769601,True
data_size,455561.95166088303,fnr_region_2,TwoStep (recall),twostep_recall,221,0.4715662331603035,0.45174117982000367,0.9818494835218888,0.0,1.0,0.44386155117282333,True
data_size,455561.95166088303,recall_region_2,TwoStep (recall),twostep_recall,221,0.5284337668396966,0.45174117982000367,0.9818494835218888,0.0,1.0,0.44386155117282333,True
intensity,0.8424210637824314,fnr_region_2,TwoStep (recall),twostep_recall,220,0.4414581771361417,0.4476597721845101,0.9623993691475632,0.0,1.0,0.44345663194007345,True
intensity,0.8424210637824314,recall_region_2,TwoStep (recall),twostep_recall,220,0.5585418228638583,0.4476597721845101,0.9623993691475632,0.0,1.0,0.44345663194007345,True
data_size,374641.26936243696,fnr_region_2,TwoStep (recall),twostep_recall,231,0.4155384930567764,0.44695964722040915,0.9564104338267818,0.0,1.0,0.44386155117282333,True
data_size,374641.26936243696,recall_region_2,TwoStep (recall),twostep_recall,231,0.5844615069432236,0.44695964722040915,0.9564104338267817,0.0,1.0,0.44386155117282333,True
