method,prefix,metric,n,bad_direction,bad_threshold,bad_rate,q01,q05,q10,q50,q90,q95,q99,mean,std
DivTree λ=0,divtree_lambda0,accuracy,4400,low,0.55,0.7452272727272727,0.1970277906081601,0.24027908689079966,0.2554161685994682,0.34202764334423685,1.0,1.0,1.0,0.45787663441553994,0.2491524422552498
DivTree λ=1,divtree_lambda1_region2,accuracy,4400,low,0.55,0.7456818181818182,0.2055513996231932,0.24105802550311242,0.25325958206495475,0.3409728280533195,1.0,1.0,1.0,0.4571338429822807,0.24951959955266748
DivTree λ=2,divtree_lambda2_region2,accuracy,4400,low,0.55,0.7452272727272727,0.20657424322629275,0.24168146411401537,0.2531394241846717,0.3408605547514893,1.0,1.0,1.0,0.45543087380842795,0.24847512595663362
DivTree λ=4,divtree_lambda4_region2,accuracy,4400,low,0.55,0.7465909090909091,0.21050071241605273,0.24245335399366721,0.2517513511262458,0.3374285114561605,1.0,1.0,1.0,0.4541350081122029,0.24957360017762925
DivTree λ=8,divtree_lambda8_region2,accuracy,4400,low,0.55,0.7461363636363636,0.21376847384022246,0.24251281921458576,0.2512396989681292,0.33725878906794704,1.0,1.0,1.0,0.45277848857675423,0.24831369503900522
TwoStep (recall),twostep_recall,accuracy,4400,low,0.55,0.8222727272727273,0.2304745084361921,0.2548972178290928,0.2701911687049283,0.35438092688204065,0.9795107096093248,1.0,1.0,0.44166011447772136,0.22234786350114735
TwoStep (tuned),twostep_tuned,accuracy,4400,low,0.55,0.7629545454545454,0.23067001209764135,0.255515563609314,0.2731196698959608,0.38296278438551934,1.0,1.0,1.0,0.46442114122030653,0.2289184733593724
DivTree λ=0,divtree_lambda0,cpu_time,4400,high,196.67939860000018,0.05,6.197844980000002,7.277650200000004,8.132607899999998,25.033222000000002,127.36929849999994,196.67939860000018,347.71717743,52.15784616909092,67.62144299359929
DivTree λ=1,divtree_lambda1_region2,cpu_time,4400,high,199.17567914999972,0.05,6.108914129999691,7.146169349999982,8.11359770000001,25.516820999999936,129.90991509999995,199.17567914999972,347.6510730900002,53.04516148636363,68.45840888779527
DivTree λ=2,divtree_lambda2_region2,cpu_time,4400,high,204.08497879999993,0.05,6.08779692999997,7.147004899999866,8.018849799999971,25.590333999999938,133.28532760000013,204.08497879999993,345.01620418000033,53.706204948863636,69.11900180340997
DivTree λ=4,divtree_lambda4_region2,cpu_time,4400,high,209.4308818000002,0.05,6.048475270000001,7.069844100000045,7.90871479999978,25.35694450000002,137.61638680000002,209.4308818000002,347.6132862999998,54.345923817272734,70.17737979593998
DivTree λ=8,divtree_lambda8_region2,cpu_time,4400,high,213.56164905000017,0.05,5.967311009999999,6.9991613000000115,7.934102800000012,25.184821500000453,140.7625830999992,213.56164905000017,344.55964526999895,54.45949140068182,70.55452578293605
TwoStep (recall),twostep_recall,cpu_time,4400,high,5514.21535535,0.05,38.22124063999999,74.46442855000008,95.56550810000007,555.8761615,4448.142779499999,5514.21535535,6820.227850370002,1457.158540148409,1794.6050692812598
TwoStep (tuned),twostep_tuned,cpu_time,4400,high,5514.182134300001,0.05,38.23301214999993,74.48025865000005,95.62688590000003,555.9108755,4450.622068299999,5514.182134300001,6821.073793360001,1457.6432527188636,1795.238559562703
DivTree λ=0,divtree_lambda0,f1_region_2,4400,low,0.55,0.6184090909090909,0.0,0.0,0.0,0.4428516084050662,1.0,1.0,1.0,0.3999846101841012,0.3493371310875869
DivTree λ=1,divtree_lambda1_region2,f1_region_2,4400,low,0.55,0.6118181818181818,0.0,0.0,0.0,0.44048581023127076,1.0,1.0,1.0,0.4093134425115918,0.34596421269562116
DivTree λ=2,divtree_lambda2_region2,f1_region_2,4400,low,0.55,0.6088636363636364,0.0,0.0,0.0,0.43991064377477884,1.0,1.0,1.0,0.4152603984167546,0.3418689883279974
DivTree λ=4,divtree_lambda4_region2,f1_region_2,4400,low,0.55,0.6056818181818182,0.0,0.0,0.0,0.43211826572233136,1.0,1.0,1.0,0.4226471393025343,0.3383131305859296
DivTree λ=8,divtree_lambda8_region2,f1_region_2,4400,low,0.55,0.6020454545454546,0.0,0.0,0.0,0.43261989073390483,1.0,1.0,1.0,0.42979365814334547,0.3363298408528887
TwoStep (recall),twostep_recall,f1_region_2,4400,low,0.55,0.6736363636363636,0.0,0.0,0.0,0.44434381674600204,0.9908561594556404,1.0,1.0,0.4011545729930489,0.31692868831036813
TwoStep (tuned),twostep_tuned,f1_region_2,4400,low,0.55,0.6406818181818181,0.0,0.0,0.0,0.45184299875804446,1.0,1.0,1.0,0.4127600061369247,0.32558739228555117
DivTree λ=0,divtree_lambda0,fnr_region_2,4400,high,0.45,0.5009090909090909,0.0,0.0,0.0,0.4567343893787593,1.0,1.0,1.0,0.4961016135125018,0.4358946860341378
DivTree λ=1,divtree_lambda1_region2,fnr_region_2,4400,high,0.45,0.5020454545454546,0.0,0.0,0.0,0.45962161068105756,1.0,1.0,1.0,0.49194430294965835,0.43067298490124506
DivTree λ=2,divtree_lambda2_region2,fnr_region_2,4400,high,0.45,0.49977272727272726,0.0,0.0,0.0,0.445075342908465,1.0,1.0,1.0,0.48850911016261206,0.4261833644638659
DivTree λ=4,divtree_lambda4_region2,fnr_region_2,4400,high,0.45,0.5018181818181818,0.0,0.0,0.0,0.4582843554748447,1.0,1.0,1.0,0.4852470691605564,0.4223271838740554
