,count,mean,std,min,25%,50%,75%,max
noise,10000.0,1.0559980852813275,2.0261059162027864,0.001000360591230579,0.009628490983644027,0.09473214939760034,0.9526523753678925,9.989954655883565
data_size,10000.0,21620.8433,25172.420017167544,1000.0,3083.0,9816.0,32110.75,99992.0
sparsity,10000.0,3.5155,1.6950065058003376,1.0,2.0,4.0,5.0,6.0
dispersion,10000.0,0.30500413750797367,0.2130403602222281,0.010203536156612014,0.1350837632717997,0.2474815411992609,0.4354146220605332,0.8997405970245376
rareness,10000.0,0.3095896391080213,0.21585594877943434,0.010686281840147516,0.13769345253646023,0.2520516441613348,0.44078303620048015,0.8998585254901684
dispersion_target_region2,10000.0,0.30500413750797367,0.2130403602222281,0.010203536156612014,0.1350837632717997,0.2474815411992609,0.4354146220605332,0.8997405970245376
rareness_target_region2,10000.0,0.3095896391080213,0.21585594877943434,0.010686281840147516,0.13769345253646023,0.2520516441613348,0.44078303620048015,0.8998585254901684
dispersion_real_region1,10000.0,0.23044354867906378,0.18715224080115855,7.901234567901235e-05,0.08,0.18333333333333332,0.34080624678497945,0.948375
rareness_real_region1,10000.0,0.22898026335291993,0.1847598448477621,3.460686600221484e-05,0.07833907521138617,0.1820383722351216,0.3395170615662102,0.9280411193603655
dispersion_real_region2,10000.0,0.30493461797860083,0.2128976931621146,0.010203671553497943,0.13353796296296297,0.2488105897633745,0.433519,0.9
rareness_real_region2,10000.0,0.309590127022697,0.21585580423943232,0.010694947867722737,0.1376819480329216,0.2520635381232183,0.44081470058647776,0.8998573309920983
dispersion_real_region3,10000.0,0.23288559229688785,0.1873758671455884,9e-05,0.0814019274048354,0.18536046810699588,0.35,0.935375
rareness_real_region3,10000.0,0.23350923124309633,0.18753938981988957,2.1757103694356208e-05,0.08007217998237731,0.18587979135047453,0.34887014816290157,0.8841416474210931
dispersion_real_region4,10000.0,0.23173624104544752,0.18503527389923638,4.018775720164609e-05,0.08067491319444445,0.1855,0.3438132222222222,0.9166666666666666
rareness_real_region4,10000.0,0.22792037838128673,0.18340493840023933,8.235875473562839e-05,0.07925412881639013,0.18151975324610625,0.3378273664110588,0.9435279187817259
