factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
sparsity,1.0,fnr_region_2,TwoStep (tuned),twostep_tuned,1602,0.39294675281842695,0.4849827894070427,1.0,0.0,1.0,0.4666569756731672,True
sparsity,1.0,fnr_region_2,TwoStep (recall),twostep_recall,1602,0.39294675281842695,0.4849827894070427,1.0,0.0,1.0,0.468609799522099,True
sparsity,1.0,recall_region_2,TwoStep (tuned),twostep_tuned,1602,0.6070532471815732,0.4849827894070427,1.0,0.0,1.0,0.4666569756731672,True
sparsity,1.0,recall_region_2,TwoStep (recall),twostep_recall,1602,0.6070532471815732,0.4849827894070427,1.0,0.0,1.0,0.468609799522099,True
noise,0.514239595217779,fnr_region_2,TwoStep (recall),twostep_recall,458,0.5445430718223444,0.47824811940516676,1.0,0.0,1.0,0.4717900250831958,True
noise,0.514239595217779,recall_region_2,TwoStep (recall),twostep_recall,458,0.4554569281776556,0.47824811940516676,1.0,0.0,1.0,0.4717900250831959,True
dispersion,0.03519200285202227,fnr_region_2,λ=0,divtree_lambda0,102,0.4889735712593104,0.4755338324772729,1.0,0.0,1.0,0.472027492752479,True
dispersion,0.03519200285202227,recall_region_2,λ=0,divtree_lambda0,102,0.5110264287406896,0.4755338324772729,1.0,0.0,1.0,0.472027492752479,True
data_size,71258.98905136844,fnr_region_2,TwoStep (recall),twostep_recall,492,0.5814386067879567,0.47447642261612055,1.0,0.0,1.0,0.4682167119352864,True
data_size,71258.98905136844,recall_region_2,TwoStep (recall),twostep_recall,492,0.4185613932120433,0.4744764226161205,1.0,0.0,1.0,0.46821671193528636,True
data_size,71258.98905136844,recall_region_2,λ=0,divtree_lambda0,492,0.48957104188459827,0.4739464382315165,1.0,0.0,1.0,0.46755311465612187,True
data_size,71258.98905136844,fnr_region_2,λ=0,divtree_lambda0,492,0.5104289581154017,0.47394643823151644,1.0,0.0,1.0,0.46755311465612187,True
noise,0.00815515817940046,fnr_region_2,TwoStep (recall),twostep_recall,533,0.5808183678924524,0.4725118021141882,1.0,0.0,1.0,0.4717900250831958,True
noise,0.00815515817940046,recall_region_2,TwoStep (recall),twostep_recall,533,0.41918163210754755,0.4725118021141882,1.0,0.0,1.0,0.4717900250831959,True
data_size,4496.35407866857,fnr_region_2,TwoStep (recall),twostep_recall,458,0.5671740202466293,0.47241394853998936,1.0,0.0,1.0,0.4682167119352864,True
data_size,4496.35407866857,recall_region_2,TwoStep (recall),twostep_recall,458,0.43282597975337067,0.47241394853998936,1.0,0.0,1.0,0.46821671193528636,True
dispersion,0.08620199281382501,fnr_region_2,λ=0,divtree_lambda0,463,0.5044160135355059,0.4721953036871785,1.0,0.0,1.0,0.472027492752479,True
dispersion,0.08620199281382501,recall_region_2,λ=0,divtree_lambda0,463,0.49558398646449414,0.4721953036871785,1.0,0.0,1.0,0.472027492752479,True
noise,0.514239595217779,fnr_region_2,TwoStep (tuned),twostep_tuned,458,0.5559662954324099,0.4707659907151915,1.0,0.0,1.0,0.46519416601509667,True
noise,0.514239595217779,recall_region_2,TwoStep (tuned),twostep_tuned,458,0.44403370456759006,0.4707659907151915,1.0,0.0,1.0,0.46519416601509667,True
data_size,71258.98905136844,fnr_region_2,λ=2,divtree_lambda2_region2,492,0.5090545488591004,0.47014333621359183,1.0,0.0,1.0,0.4643323767479587,True
data_size,71258.98905136844,recall_region_2,λ=2,divtree_lambda2_region2,492,0.4909454511408996,0.47014333621359183,1.0,0.0,1.0,0.4643323767479587,True
data_size,14218.435672247866,fnr_region_2,λ=0,divtree_lambda0,445,0.5390376537231224,0.4694797239600085,1.0,0.0,1.0,0.46755311465612187,True
data_size,14218.435672247866,recall_region_2,λ=0,divtree_lambda0,445,0.46096234627687765,0.4694797239600085,1.0,0.0,1.0,0.46755311465612187,True
noise,2.046805402410199,fnr_region_2,λ=0,divtree_lambda0,507,0.5155728534813518,0.4689775454419004,1.0,0.0,1.0,0.4678039898912517,True
noise,2.046805402410199,recall_region_2,λ=0,divtree_lambda0,507,0.48442714651864816,0.4689775454419004,1.0,0.0,1.0,0.4678039898912517,True
dispersion,0.05507831494294404,fnr_region_2,λ=2,divtree_lambda2_region2,255,0.5163285787814097,0.4685741287641669,0.9997545409916544,0.0,1.0,0.46770664313895816,True
dispersion,0.05507831494294404,recall_region_2,λ=2,divtree_lambda2_region2,255,0.4836714212185903,0.4685741287641669,0.9997545409916544,0.0,1.0,0.46770664313895816,True
noise,0.0032470703266739244,fnr_region_2,λ=0,divtree_lambda0,516,0.5208981582429014,0.4684359581176308,1.0,0.0,1.0,0.4678039898912517,True
noise,0.0032470703266739244,recall_region_2,λ=0,divtree_lambda0,516,0.47910184175709847,0.4684359581176307,1.0,0.0,1.0,0.4678039898912517,True
dispersion,0.08620199281382501,fnr_region_2,λ=2,divtree_lambda2_region2,463,0.5096595633498504,0.46776573240954,0.9983669678901654,0.0,1.0,0.46770664313895816,True
dispersion,0.08620199281382501,recall_region_2,λ=2,divtree_lambda2_region2,463,0.4903404366501496,0.46776573240954,0.9983669678901654,0.0,1.0,0.46770664313895816,True
data_size,71258.98905136844,recall_region_2,λ=4,divtree_lambda4_region2,492,0.491626508029317,0.46748695673074747,1.0,0.0,1.0,0.4616540934519816,True
data_size,71258.98905136844,fnr_region_2,λ=4,divtree_lambda4_region2,492,0.508373491970683,0.46748695673074736,1.0,0.0,1.0,0.46165409345198155,True
dispersion,0.08620199281382501,fnr_region_2,TwoStep (recall),twostep_recall,463,0.5553638047051366,0.4668408905257102,1.0,0.0,1.0,0.46454373110690567,True
dispersion,0.08620199281382501,recall_region_2,TwoStep (recall),twostep_recall,463,0.4446361952948634,0.4668408905257102,1.0,0.0,1.0,0.46454373110690567,True
noise,0.00815515817940046,fnr_region_2,TwoStep (tuned),twostep_tuned,533,0.5880293069616669,0.4667613225009858,1.0,0.0,1.0,0.46519416601509667,True
noise,0.00815515817940046,recall_region_2,TwoStep (tuned),twostep_tuned,533,0.4119706930383331,0.4667613225009858,1.0,0.0,1.0,0.46519416601509667,True
noise,2.046805402410199,fnr_region_2,λ=2,divtree_lambda2_region2,507,0.5019188735425701,0.4666378572089789,0.9949415449849619,0.0,1.0,0.4617353153248416,True
noise,2.046805402410199,recall_region_2,λ=2,divtree_lambda2_region2,507,0.49808112645742986,0.4666378572089789,0.9949415449849618,0.0,1.0,0.4617353153248416,True
