method,prefix,metric,n,bad_direction,bad_threshold,bad_rate,q01,q05,q10,q50,q90,q95,q99,mean,std
DivTree λ=0,divtree_lambda0,accuracy,10000,low,0.55,0.4787,0.15482108968316358,0.25456772648083625,0.3222275736273646,0.5606364113303589,0.9991236313949923,1.0,1.0,0.5993011579754981,0.23161380298795475
DivTree λ=1,divtree_lambda1_region2,accuracy,10000,low,0.55,0.4779,0.15525512335435454,0.25516608857271156,0.321094716127794,0.5612395718045324,0.9988409381899768,1.0,1.0,0.5990804687772313,0.23112959944771733
DivTree λ=2,divtree_lambda2_region2,accuracy,10000,low,0.55,0.476,0.16149102716222963,0.25543440057486905,0.3222223262117168,0.561684283458477,0.9982524044826978,1.0,1.0,0.5993974036683644,0.23069124277703018
DivTree λ=4,divtree_lambda4_region2,accuracy,10000,low,0.55,0.4766,0.16136872947020248,0.2563700942321632,0.3231927835986481,0.5612023900532883,0.997765490605764,1.0,1.0,0.5985773934495912,0.23014195122683978
DivTree λ=6,divtree_lambda6_region2,accuracy,10000,low,0.55,0.478,0.16390131918727754,0.2564739344540669,0.3224996749024708,0.5606727641650896,0.9973152270033045,1.0,1.0,0.5979236418070559,0.22995377297098632
DivTree λ=8,divtree_lambda8_region2,accuracy,10000,low,0.55,0.4786,0.16415320863014957,0.2571854048550252,0.32375410788146636,0.5606060606060606,0.9965693457964683,1.0,1.0,0.5976000940418749,0.2295900724384809
TwoStep (recall),twostep_recall,accuracy,10000,low,0.55,0.5044,0.20218686045117332,0.27730000388100595,0.32507841805441307,0.5475298369295326,0.8606078834623865,0.9275543131994528,0.9997073485478447,0.5697540705406247,0.19694252591623204
TwoStep (tuned),twostep_tuned,accuracy,10000,low,0.55,0.4975,0.20890211063738245,0.2807317942826096,0.326867080306699,0.5512908865039425,0.865034351741778,0.933382476499514,1.0,0.5729878118255123,0.19716530042085906
DivTree λ=0,divtree_lambda0,cpu_time,10000,high,86.28752935000023,0.05,7.186475170000001,12.542744200000152,15.23893189999992,24.388912499999876,64.62256429999994,86.28752935000023,153.46452830000052,33.6937074837,27.038616303917642
DivTree λ=1,divtree_lambda1_region2,cpu_time,10000,high,84.92980765000003,0.05,6.9725024999999565,12.615424899999994,15.222211600000064,24.255705000000034,64.7763037,84.92980765000003,151.18711059999984,33.442053252,26.585883950585327
DivTree λ=2,divtree_lambda2_region2,cpu_time,10000,high,85.33309644999994,0.05,6.92908555000005,12.555403899999982,15.452152099999836,24.30119199999976,64.43020349999995,85.33309644999994,147.81474684999998,33.4419512249,26.12042485664056
DivTree λ=4,divtree_lambda4_region2,cpu_time,10000,high,85.35205349999994,0.05,6.96281327,12.68459559999998,15.568087299999798,24.57935699999991,64.45979290000002,85.35205349999994,142.53574667000024,33.5512084696,25.91033043372208
DivTree λ=6,divtree_lambda6_region2,cpu_time,10000,high,84.52037404999997,0.05,7.045903899999819,12.806574000000003,15.743077100000097,24.764007000000078,64.35653500000002,84.52037404999997,139.38215483000005,33.565125911900004,25.35364072922371
DivTree λ=8,divtree_lambda8_region2,cpu_time,10000,high,84.4963239999999,0.05,7.114365930000012,13.008943949999994,15.801982700000133,24.94234449999999,64.21823869999997,84.4963239999999,136.597629,33.4588565556,24.85946678014339
TwoStep (recall),twostep_recall,cpu_time,10000,high,358.25640089999973,0.05,4.581149090000045,5.739121300000029,6.7687291999999735,35.583441499999964,273.46654770000004,358.25640089999973,475.4528318500001,90.97509040939998,115.54562689809272
TwoStep (tuned),twostep_tuned,cpu_time,10000,high,360.2715848000001,0.05,4.640447859999975,5.7738561000000175,6.809148499999997,35.75341600000016,274.6774273000002,360.2715848000001,476.8188644900002,91.373517057,116.15650560420745
DivTree λ=0,divtree_lambda0,f1_region_2,10000,low,0.55,0.5977,0.0,0.0,0.0,0.2511370246309371,1.0,1.0,1.0,0.39179439043378145,0.3954889377046208
DivTree λ=1,divtree_lambda1_region2,f1_region_2,10000,low,0.55,0.5972,0.0,0.0,0.0,0.24933646977533458,1.0,1.0,1.0,0.3980645413159015,0.39130512390023137
